"Bitcoin Diamond
(BCD)","1.74
USD" 
"PoSW Coin
(POSW)","0.022968
USD"
"TEKcoin
(TEK)","0.000065
USD"
"BOAT
(BOAT)","0.000714
USD"
"Bolivarcoin
(BOLI)","0.008297
USD"
"LiteBar
(LTB)","0.115617
USD"
"Help The Homeless Coin
(HTH)","0.000130
USD"
"EthBet
(EBET)","0.014404
USD"
"Speed Mining Service
(SMS)","8.33
USD"
"AllSafe
(ASAFE2)","0.016482
USD"
"MMOCoin
(MMO)","0.003117
USD"
"Billionaire Token
 (XBL)","0.080750
USD"
"Ultimate Secure Cash
(USC)","0.007980
USD"
"WhaleCoin
(WHL)","0.013430
USD"
"BitDice
(CSNO)","0.051904
USD"
"Thore Cash
(TCH)","0.004555
USD"
"Datarius Credit
(DTRC)","0.000931
USD"
"Scorum Coins
(SCR)","0.206793
USD"
"Bitmark
(BTM)","0.029610
USD"
"SHPING
(SHPING)","0.000584
USD"
"Decentralized Machine Learning
(DML)","0.006790
USD"
"Bowhead
(AHT)","0.024374
USD"
"bitGold
(BITGOLD)","1266.96
USD"
"Nyancoin
(NYAN)","0.000451
USD"
"BigUp
(BIGUP)","0.000059
USD"
"PIECoin
(PIE)","0.003428
USD"
"StarCash Network
(STARS)","0.002725
USD"
"Noku
(NOKU)","0.143216
USD"
"OP Coin
(OPC)","0.000197
USD"
"Zurcoin
(ZUR)","0.000779
USD"
"MojoCoin
(MOJO)","0.013054
USD"
"NevaCoin
(NEVA)","0.021369
USD"
"Target Coin
(TGT)","0.000584
USD"
"GCN Coin
(GCN)","0.000005
USD"
"Mercury Protocol
(GMT)","0.002277
USD"
"WITChain
(WIT)","0.000119
USD"
"Quebecoin
(QBC)","0.003568
USD"
"Tether
(USDT)","0.981872
USD"
"Unitus
(UIS)","0.003374
USD"
"Cryptopay
(CPAY)","0.024692
USD"
"Dystem
(DTEM)","0.056381
USD"
"HomeBlockCoin
(HBC)","0.008701
USD"
"Harvest Masternode Coin
(HC)","0.020308
USD"
"SGPay
(SGP)","0.102782
USD"
"CHIPS
(CHIPS)","0.068235
USD"
"Desire
(DSR)","0.017122
USD"
"Evil Coin
(EVIL)","0.002920
USD"
"Ties.DB
(TIE)","0.024578
USD"
"Tigereum
(TIG)","0.068721
USD"
"Mithril Ore
(MORE)","4.53
USD"
"GreenMed
(GRMD)","0.006488
USD"
"Tokenbox
(TBX)","0.057614
USD"
"IrishCoin
(IRL)","0.003049
USD"
"Gossipcoin
(GOSS)","0.000707
USD"
"Philosopher Stones
(PHS)","0.016559
USD"
"ExchangeN
(EXN)","0.006474
USD"
"SyncFab
(MFG)","0.002964
USD"
"AquariusCoin
(ARCO)","0.061590
USD"
"Unify
(UNIFY)","0.008689
USD"
"Ecobit
(ECOB)","0.007721
USD"
"Blakecoin
(BLC)","0.013434
USD"
"Bytecent
(BYC)","0.056756
USD"
"Mirai
(MRI)","0.048926
USD"
"eBitcoin
(EBTC)","0.046117
USD"
"DigitalDevelopersFund
(DDF)","0.015914
USD"
"View
(VIEW)","0.012809
USD"
"Musiconomi
(MCI)","0.010576
USD"
"Wixlar
(WIX)","0.038251
USD"
"SpeedCash
(SCS)","0.039026
USD"
"Rubycoin
(RBY)","0.224292
USD"
"EBCH
(EBCH)","0.025814
USD"
"FLiK
(FLIK)","0.002396
USD"
"Authorship
(ATS)","0.001946
USD"
"Jin Coin
(JIN)","0.006812
USD"
"TOKYO
(TOKC)","0.000633
USD"
"C-Bit
(XCT)","0.000471
USD"
"Vsync
(VSX)","0.002271
USD"
"Bitswift
(BITS)","0.142607
USD"
"FujiCoin
(FJC)","0.000195
USD"
"ShipChain
(SHIP)","0.009417
USD"
"Bolenum
(BLN)","0.000064
USD"
"Canada eCoin
(CDN)","0.003950
USD"
"Bata
(BTA)","0.031081
USD"
"No BS Crypto
(NOBS)","0.000718
USD"
"Sharechain
(SSS)","0.000070
USD"
"Joulecoin
(XJO)","0.004801
USD"
"bitqy
(BQ)","0.000535
USD"
"Carboncoin
(CARBON)","0.000065
USD"
"Tidex Token
(TDX)","0.022429
USD"
"Garlicoin
(GRLC)","0.004420
USD"
"Bitether
(BTR)","0.003123
USD"
"RedCoin
(RED)","0.000584
USD"
"Dinero
(DIN)","0.012914
USD"
"COPYTRACK
(CPY)","0.045279
USD"
"ZetaMicron
(ZMC)","0.000063
USD"
"Joint Ventures
(JOINT)","0.001834
USD"
"UltraNote Coin
(XUN)","0.000525
USD"
"Eternity
(ENT)","0.012773
USD"
"BrokerNekoNetwork
(BNN)","0.000033
USD"
"Wild Crypto
(WILD)","0.004881
USD"
"Castle
(CSTL)","0.019714
USD"
"Digital Rupees
(DRS)","0.000065
USD"
"Qvolta
(QVT)","0.011794
USD"
"Atomic Coin
(ATOM)","0.005953
USD"
"Sether
(SETH)","0.066977
USD"
"TrezarCoin
(TZC)","0.005125
USD"
"Tourist Token
(TOTO)","0.000036
USD"
"CryptoInsight
(TKR)","0.004073
USD"
"RevolverCoin
(XRE)","0.003504
USD"
"Cardano
(ADA)","0.076560
USD"
"bitEUR
(BITEUR)","1.24
USD"
"Printex
(PRTX)","0.010381
USD"
"PayCoin
(XPY)","0.016220
USD"
"Sovereign Hero
(HERO)","182.16
USD"
"Condensate
(RAIN)","0.001279
USD"
"Omnitude
(ECOM)","0.065860
USD"
"DCORP Utility
(DRPU)","0.082429
USD"
"Asiadigicoin
(ADCN)","0.000779
USD"
"Monster Byte
(MBI)","0.032660
USD"
"Starta
(STA)","0.359692
USD"
"GlobalToken
(GLT)","0.001942
USD"
"Gainer
(GNR)","0.033099
USD"
"BritCoin
(BRIT)","0.006683
USD"
"CJs
(CJS)","41.89
USD"
"ELTCOIN
(ELTCOIN)","0.001263
USD"
"Ignition
(IC)","0.251456
USD"
"Nectar
(NEC)","0.524928
USD"
"OPCoinX
(OPCX)","0.001622
USD"
"Diamond
(DMD)","1.93
USD"
"WomenCoin
(WOMEN)","0.000007
USD"
"Ammo Reloaded
(AMMO)","0.000713
USD"
"Etheriya
(RIYA)","0.242169
USD"
"Fantomcoin
(FCN)","0.202372
USD"
"Digiwage
(WAGE)","0.005178
USD"
"SOILcoin
(SOIL)","0.005190
USD"
"Zoin
(ZOI)","0.038637
USD"
"BitScreener Token
 (BITX)","0.009073
USD"
"SpaceCoin
(SPACE)","0.003994
USD"
"ICOBID
(ICOB)","0.000195
USD"
"HelloGold
(HGT)","0.003827
USD"
"Fujinto
(NTO)","0.000654
USD"
"BlazeCoin
(BLZ)","0.000195
USD"
"Embers
(MBRS)","0.002206
USD"
"Startcoin
(START)","0.004535
USD"
"Catcoin
(CAT)","0.008994
USD"
"RefToken
(REF)","0.861887
USD"
"IncaKoin
(NKA)","0.000015
USD"
"Fluz Fluz
(FLUZ)","0.005613
USD"
"Argentum
(ARG)","0.045416
USD"
"Rhenium
(XRH)","0.001175
USD"
"Gold Pressed Latinum
(GPL)","0.090335
USD"
"Tokugawa
(TOK)","0.079284
USD"
"Dreamcoin
(DRM)","0.020178
USD"
"Californium
(CF)","0.013430
USD"
"8Bit
(8BIT)","0.118985
USD"
"Ethereum Gold
(ETG)","0.012735
USD"
"Sterlingcoin
(SLG)","0.030928
USD"
"Trident Group
(TRDT)","0.013484
USD"
"Theresa May Coin
(MAY)","0.000457
USD"
"Fintab
(FNTB)","0.031529
USD"
"NEVERDIE
(NDC)","0.010700
USD"
"Slevin
(SLEVIN)","0.000064
USD"
"Manna
(MANNA)","0.000973
USD"
"Luna Coin
(LUNA)","0.007526
USD"
"Biotron
(BTRN)","0.005869
USD"
"Neuro
(NRO)","0.000324
USD"
"CannaCoin
(CCN)","0.015528
USD"
"Alibabacoin
(ABBC)","0.968893
USD"
"Crystal Clear
(CCT)","0.024016
USD"
"Save and Gain
(SANDG)","0.000843
USD"
"WELL
(WELL)","0.004938
USD"
"Primalbase Token
(PBT)","4518.54
USD"
"PLATINCOIN
(PLC)","4.51
USD"
"Truckcoin
(TRK)","0.001103
USD"
"Digitalcoin
(DGC)","0.011781
USD"
"iEthereum
(IETH)","0.007843
USD"
"Mysterium
(MYST)","0.132125
USD"
"SocialCoin
(SOCC)","0.012846
USD"
"Sativacoin
(STV)","0.004152
USD"
"DaxxCoin
(DAXX)","0.000130
USD"
"GoldBlocks
(GB)","0.006123
USD"
"SoPay
(SOP)","0.005737
USD"
"Tracto
(TRCT)","0.004097
USD"
"SecureCoin
(SRC)","0.006358
USD"
"Moving Cloud Coin
(MCC)","0.011873
USD"
"CarBlock
(CAR)","0.002636
USD"
"Essentia
(ESS)","0.003830
USD"
"Ubique Chain Of Things
(UCT)","0.016556
USD"
"Digital Money Bits
(DMB)","0.001298
USD"
"Credence Coin
(CRDNC)","0.006012
USD"
"SmileyCoin
(SMLY)","0.000010
USD"
"Machinecoin
(MAC)","0.000455
USD"
"LightChain
(LIGHT)","0.000139
USD"
"Coin2Play
(C2P)","0.042837
USD"
"Cannation
(CNNC)","0.010446
USD"
"Nyerium
(NYEX)","0.001330
USD"
"Datacoin
(DTC)","0.001492
USD"
"TopChain
(TOPC)","0.011601
USD"
"CROAT
(CROAT)","0.002857
USD"
"Leviar
(XLC)","0.005904
USD"
"Money
($$$)","0.000714
USD"
"Monero
(XMR)","105.71
USD"
"Mincoin
(MNC)","0.018167
USD"
"GuccioneCoin
(GCC)","0.002076
USD"
"YEED
(YEED)","0.001725
USD"
"AdCoin
(ACC)","0.026341
USD"
"EJOY
(EJOY)","0.000130
USD"
"Experience Token
(EXT)","0.000300
USD"
"PonziCoin
(PONZI)","0.005126
USD"
"AdultChain
(XXX)","0.003274
USD"
"GambleCoin
(GMCN)","0.012976
USD"
"Influence Chain
(INC)","0.028788
USD"
"Allion
(ALL)","0.005517
USD"
"Haracoin
(HRC)","0.046065
USD"
"InterCrone
(ICR)","0.175951
USD"
"Magnum
(MGM)","0.000454
USD"
"GeertCoin
(GEERT)","0.002465
USD"
"Ether Zero
(ETZ)","0.272937
USD"
"IDOL COIN
(IDOL)","0.000065
USD"
"Tripio
(TRIO)","0.003182
USD"
"TWIST
(TWIST)","0.000713
USD"
"GameChain System
(GCS)","0.001301
USD"
"Cheesecoin
(CHEESE)","0.000130
USD"
"YOU COIN
(YOU)","0.006582
USD"
"OTCBTC Token
(OTB)","0.057020
USD"
"YUKI
(YUKI)","0.000130
USD"
"Golos Gold
(GBG)","0.019284
USD"
"Kronecoin
(KRONE)","0.001687
USD"
"Sparks
(SPK)","0.016175
USD"
"InvestDigital
(IDT)","0.008458
USD"
"Mooncoin
(MOON)","0.000029
USD"
"Consentium
(CSM)","1.19
USD"
"JIYO
(JIYOX)","0.002699
USD"
"iBank
(IBANK)","0.002141
USD"
"Couchain
(COU)","0.000017
USD"
"CHEX
(CHEX)","0.009841
USD"
"Debitcoin
(DBTC)","0.003057
USD"
"High Voltage
(HVCO)","0.032246
USD"
"CompuCoin
(CPN)","0.001491
USD"
"Elysium
(ELS)","0.001687
USD"
"RECORD
(RCD)","0.004763
USD"
"BoostCoin
(BOST)","0.004996
USD"
"CARAT
(CARAT)","1.01
USD"
"SoonCoin
(SOON)","0.002530
USD"
"Esports Token
(EST)","0.002943
USD"
"Nekonium
(NUKO)","0.003439
USD"
"Levocoin
(LEVO)","0.000065
USD"
"WA Space
(WA)","0.000779
USD"
"Aidos Kuneen
(ADK)","7.39
USD"
"NAM COIN
(NAM)","0.000407
USD"
"AirWire
(WIRE)","0.051834
USD"
"BingoCoin
(BOC)","0.051408
USD"
"Coimatic 2.0
(CTIC2)","0.000324
USD"
"Ultra Salescloud
(UST)","0.044768
USD"
"DynamicCoin
(DMC)","0.000229
USD"
"GoldPieces
(GP)","0.028872
USD"
"JSECOIN
(JSE)","0.001858
USD"
"RabbitCoin
(RBBT)","0.000002
USD"
"KNOW
(KNOW)","0.019113
USD"
"BnrtxCoin
(BNX)","0.000583
USD"
"Quotient
(XQN)","0.001946
USD"
"EPLUS Coin
(EPLUS)","1.10
USD"
"Obitan Chain
(OBTC)","0.000004
USD"
"Bankcoin
(B@)","0.001192
USD"
"Hyper
(HYPER)","0.008255
USD"
"PayDay Coin
(PDX)","1.07
USD"
"Gemini Dollar
(GUSD)","1.01
USD"
"Quasarcoin
(QAC)","0.046903
USD"
"Lendroid Support Token
(LST)","0.001699
USD"
"Vault Coin
(VLTC)","0.000065
USD"
"CEDEX Coin
(CEDEX)","0.119346
USD"
"Decentralized Asset Trading Platform
(DATP)","0.000011
USD"
"Ubcoin Market
(UBC)","0.004467
USD"
"Maggie
(MAG)","0.001791
USD"
"Olympic
(OLMP)","0.000644
USD"
"PlayerCoin
(PLACO)","0.000260
USD"
"MustangCoin
(MST)","0.035230
USD"
"ERA
(ERA)","0.003768
USD"
"Polcoin
(PLC)","0.000324
USD"
"ValueChain
(VLC)","0.012140
USD"
"First Bitcoin Capital
(BITCF)","0.029473
USD"
"Super Game Chain
(SGCC)","0.000115
USD"
"BipCoin
(BIP)","0.009648
USD"
"ACChain
(ACC)","0.113217
USD"
"BaaSid
(BAAS)","0.002716
USD"
"FolmCoin
(FLM)","0.004639
USD"
"Qbic
(QBIC)","0.007493
USD"
"TerraNova
(TER)","0.059637
USD"
"OceanChain
(OC)","0.000699
USD"
"Infinipay
(IFP)","0.000260
USD"
"Defense
(DFS)","0.003948
USD"
"Yuan Chain Coin
(YCC)","0.012462
USD"
"Eurocoin
(EUC)","0.002530
USD"
"vSportCoin
(VSC)","0.003089
USD"
"JavaScript Token
(JS)","0.004282
USD"
"President Trump
(PRES)","0.003868
USD"
"Cubits
(QBT)","0.000912
USD"
"GSENetwork
(GSE)","0.005271
USD"
"WeToken
(WT)","0.003175
USD"
"Solarflarecoin
(SFC)","0.001439
USD"
"AWARE
(AT)","0.002686
USD"
"Exchange Union
(XUC)","4.19
USD"
"ARLIZE
(ARLIZE)","0.000260
USD"
"Molecular Future
(MOF)","0.115964
USD"
"NewsToken
(NEWOS)","0.001698
USD"
"Mero
(MERO)","0.000195
USD"
"ZenGold
(ZENGOLD)","0.005356
USD"
"Alphabit
(ABC)","8.03
USD"
"Donationcoin
(DON)","0.000262
USD"
"ZB
(ZB)","0.217625
USD"
"POLY AI
(AI)","0.000140
USD"
"Oxycoin
(OXY)","0.004477
USD"
"CARDbuyers
(BCARD)","0.018847
USD"
"Carboneum [C8] Token
(C8)","0.008192
USD"
"Wink
(WINK)","0.000195
USD"
"PLNcoin
(PLNC)","0.001298
USD"
"Superior Coin
(SUP)","0.000649
USD"
"ChanCoin
(CHAN)","0.000785
USD"
"Etherecash
(ECH)","0.065047
USD"
"PlayCoin [QRC20]
(PLY)","0.136464
USD"
"Dollar Online
(DOLLAR)","0.005515
USD"
"Compound Coin
(COMP)","0.000023
USD"
"ParkinGo
(GOT)","0.560376
USD"
"Flaxscript
(FLAX)","0.002725
USD"
"DasCoin
(DASC)","0.035262
USD"
"Coinonat
(CXT)","0.001423
USD"
"NamoCoin
(NAMO)","0.000064
USD"
"Dalecoin
(DALC)","0.048596
USD"
"SEER
(SEER)","0.001549
USD"
"VeriDocGlobal
(VDG)","0.003004
USD"
"StockChain
(SCC)","0.002161
USD"
"Open Platform
(OPEN)","0.011297
USD"
"EA Coin
(EAG)","0.002790
USD"
"DIPNET
(DPN)","0.002461
USD"
"Roofs
(ROOFS)","0.000195
USD"
"Acoin
(ACOIN)","0.025174
USD"
"Nuggets
(NUG)","0.000669
USD"
"Nitro
(NOX)","0.003062
USD"
"ABCC Token
(AT)","0.333619
USD"
"CryptalDash
(CRD)","0.011149
USD"
"BitQuark
 (BTQ)","0.001882
USD"
"Monero Classic
(XMC)","1.65
USD"
"Social Lending Token
(SLT)","0.003267
USD"
"TRON
(TRX)","0.024351
USD"
"RRCoin
(RRC)","0.004621
USD"
"BitCapitalVendor
(BCV)","0.005079
USD"
"Aces
(ACES)","0.000065
USD"
"Intelligent Investment Chain
(IIC)","0.000524
USD"
"PRASM
(PSM)","0.001528
USD"
"High Gain
(HIGH)","0.000130
USD"
"ZSEcoin
(ZSE)","0.013061
USD"
"Halloween Coin
(HALLO)","0.000130
USD"
"BitAsean
(BAS)","0.000823
USD"
"SHACoin
(SHA)","0.000323
USD"
"MarxCoin
(MARX)","0.001038
USD"
"Concoin
(CONX)","0.011289
USD"
"HarmonyCoin
(HMC)","0.000260
USD"
"WETH
(WETH)","203.17
USD"
"iDealCash
(DEAL)","0.000389
USD"
"Galaxy eSolutions
(GES)","0.001741
USD"
"Cabbage
(CAB)","0.002076
USD"
"RPICoin
(RPI)","0.000244
USD"
"Celsius
(CEL)","0.049057
USD"
"Jingtum Tech
(SWTC)","0.001320
USD"
"Master Contract Token
(MCT)","0.002695
USD"
"GazeCoin
(GZE)","0.009148
USD"
"HealthyWormCoin
(WORM)","0.000130
USD"
"Gentarium
(GTM)","1.04
USD"
"Aegeus
(AEG)","0.008115
USD"
"SIGMAcoin
(SIGMA)","0.003087
USD"
"DigiFinexToken
(DFT)","0.148796
USD"
"Engine
(EGCC)","0.000875
USD"
"Kcash
(KCASH)","0.020536
USD"
"Marijuanacoin
(MAR)","0.012327
USD"
"UralsCoin
(URALS)","0.001363
USD"
"Independent Money System
(IMS)","0.005709
USD"
"Zen Protocol
(ZP)","0.265556
USD"
"VeThor Token
(VTHO)","0.001257
USD"
"JobsCoin
(JOBS)","0.000260
USD"
"Animecoin
(ANI)","0.000973
USD"
"Globalvillage Ecosystem
(GVE)","0.001120
USD"
"Pandemia
(PNDM)","0.007238
USD"
"Themis
(GET)","0.004815
USD"
"ALLCOIN
(ALC)","0.015027
USD"
"Candy
(CANDY)","0.000041
USD"
"CMITCOIN
(CMIT)","0.000062
USD"
"Commerce Data Connection
(CDC)","0.000664
USD"
"PosEx
(PEX)","0.010251
USD"
"MSD
(MSD)","0.008238
USD"
"Endorsit
(EDS)","0.000100
USD"
"Monero Original
(XMO)","1.32
USD"
"LemoChain
(LEMO)","0.016694
USD"
"BFFDoom
(BFF)","0.000002
USD"
"MIRQ
(MRQ)","0.000260
USD"
"Indicoin
(INDI)","0.009083
USD"
"Metadium
(META)","0.009897
USD"
"PlexCoin
(PLX)","0.006488
USD"
"Argus
(ARGUS)","0.003280
USD"
"BlazerCoin
(BLAZR)","0.000649
USD"
"Labh Coin
(LABH)","0.002825
USD"
"Bitcoin Planet
(BTPL)","0.003179
USD"
"Blockchain Quotations Index Token
(BQT)","0.013799
USD"
"CK USD
(CKUSD)","1.01
USD"
"Robotina
(ROX)","0.046214
USD"
"PRCoin
(PRC)","0.000324
USD"
"Cloud
(CLD)","0.010425
USD"
"Veltor
(VLT)","0.026990
USD"
"AmsterdamCoin
(AMS)","0.000607
USD"
"Litex
(LXT)","0.004976
USD"
"BlockCDN
(BCDN)","0.003667
USD"
"Ordocoin
(RDC)","0.000058
USD"
"CoinMeet
(MEET)","0.029342
USD"
"HODL Bucks
(HDLB)","0.011578
USD"
"SalPay
(SAL)","0.032162
USD"
"PitisCoin
(PTS)","0.003101
USD"
"eosBLACK
(BLACK)","0.209988
USD"
"GlassCoin
(GLS)","0.003802
USD"
"ABLE
(ABLX)","0.000694
USD"
"Puregold Token
(PGT)","0.128503
USD"
"WXCOINS
(WXC)","2.77
USD"
"Network Token
(NTWK)","0.001185
USD"
"YouLive Coin
(UC)","0.000609
USD"
"Litecred
(LTCR)","0.000908
USD"
"SONO
(SONO)","0.103809
USD"
"ThingsOperatingSystem
(TOS)","0.012527
USD"
"Filecoin [Futures]
(FIL)","3.66
USD"
"Huncoin
(HNC)","0.000260
USD"
"Ether-1
(ETHO)","0.026457
USD"
"ChainCoin
(CHC)","0.001611
USD"
"ERC20
(ERC20)","0.190674
USD"
"WINCOIN
(WC)","0.179690
USD"
"The Midas Touch Gold
(TMTG)","0.042424
USD"
"Centaure
(CEN)","0.001752
USD"
"Sphre AIR
(XID)","0.034453
USD"
"EmaratCoin
(AEC)","0.119393
USD"
"BTCMoon
(BTCM)","0.001500
USD"
"Sharkcoin
(SAK)","0.002666
USD"
"FairGame
(FAIR)","0.005535
USD"
"EncryptoTel [ETH]
(ETT)","0.013365
USD"
"MEET.ONE
(MEETONE)","0.002301
USD"
"Cobrabytes
(COBRA)","0.062122
USD"
"Ferron
(FRRN)","0.000065
USD"
"Tattoocoin (Limited Edition)
(TLE)","0.743140
USD"
"Insureum
(ISR)","0.061953
USD"
"VapersCoin
(VPRC)","0.000005
USD"
"Phantomx
(PNX)","0.000672
USD"
"TrueDeck
(TDP)","2.77
USD"
"Fargocoin
(FRGC)","0.050040
USD"
"Read
(READ)","0.005172
USD"
"BitCoin One
(BTCONE)","0.001492
USD"
"COMSA [ETH]
(CMS)","0.080019
USD"
"Pixie Coin
(PXC)","0.000957
USD"
"Infinity Economics
(XIN)","0.003285
USD"
"Loopring [NEO]
(LRN)","0.151045
USD"
"Pundi X NEM
(NPXSXEM)","0.000847
USD"
"Artex Coin
(ATX)","0.000376
USD"
"CORION
(COR)","0.071129
USD"
"ONG
(ONG)","0.973104
USD"
"Qurito
(QURO)","0.007520
USD"
"FCoin Token
(FT)","0.043730
USD"
"Jiyo [OLD]
(JIYO)","0.002956
USD"
"Trendercoin
(TDC)","0.000037
USD"
"Bitspace
(BSX)","0.000869
USD"
"DarexTravel
(DART)","0.000003
USD"
"VectorAI
(VEC2)","0.001687
USD"
"EscrowCoin
(ESCO)","0.185575
USD"
"Prime-XI
(PXI)","0.001233
USD"
"Helper Search Token
(HSN)","0.000004
USD"
"PoSToken
(POS)","0.023438
USD"
"Smart Application Chain
(SAC)","2.57
USD"
"ContractNet
(CNET)","0.022983
USD"
"KARMA
(KARMA)","0.001419
USD"
"Sakuracoin
(SKR)","0.000714
USD"
"Rentledger
(RTL)","0.000389
USD"
"MEX
(MEX)","0.001992
USD"
"Francs
(FRN)","0.002790
USD"
"United Bitcoin
 (UBTC)","3.75
USD"
"Internet of Things
(XOT)","18.54
USD"
"GoldMaxCoin
(GMX)","0.000130
USD"
"Tellurion
(TELL)","0.000389
USD"
"ZTCoin
(ZT)","0.134266
USD"
"Level Up Coin
(LUC)","0.001488
USD"
"Bankera
(BNK)","0.004225
USD"
"Bubble
(BUB)","0.006792
USD"
"CariNet
(CIT)","0.023746
USD"
"Cheapcoin
(CHEAP)","0.000062
USD"
"InternationalCryptoX
(INCX)","0.003226
USD"
"BeeKan
(BKBT)","0.000963
USD"
"EagleCoin
(EAGLE)","0.001652
USD"
"WIZBL
(WBL)","0.025822
USD"
"EcoCoin
(ECO)","0.018102
USD"
"iQuant
(IQT)","0.004931
USD"
"Agrolot
(AGLT)","0.331861
USD"
"Eligma Token
(ELI)","0.011097
USD"
"Bodhi [ETH]
(BOE)","0.041972
USD"
"Penta
(PNT)","0.001317
USD"
"Infinitecoin
(IFC)","0.000034
USD"
"EduCoin
(EDU)","0.000411
USD"
"Akuya Coin
(AKY)","0.000523
USD"
"YENTEN
(YTN)","0.001712
USD"
"BitUP Token
(BUT)","0.004952
USD"
"CottonCoin
(COTN)","0.007526
USD"
"Saifu
(SFU)","0.052358
USD"
"MiloCoin
(MILO)","0.001625
USD"
"Quanta Utility Token
(QNTU)","0.000774
USD"
"LiteBitcoin
(LBTC)","0.000391
USD"
"Project Pai
(PAI)","0.183291
USD"
"Cyder
(CYDER)","0.000779
USD"
"Budbo
(BUBO)","0.004024
USD"
"Royal Kingdom Coin
(RKC)","0.002336
USD"
"Benz
(BENZ)","0.000188
USD"
"Bitnation
(XPAT)","0.000012
USD"
"Zayedcoin
(ZYD)","0.003828
USD"
"Invictus Hyperion Fund
(IHF)","0.036770
USD"
"Minex
(MINEX)","0.000651
USD"
"MIR COIN
(MIR)","0.039220
USD"
"DACC
(DACC)","0.000704
USD"
"empowr coin
(EMPR)","0.002695
USD"
"Vestoria
(VSTR)","0.000004
USD"
"Asura Coin
(ASA)","0.002064
USD"
"Crypto Improvement Fund
(CIF)","0.000519
USD"
"Davinci Coin
(DAC)","0.004421
USD"
"Wi Coin
(WIC)","0.000324
USD"
"Alttex
(ALTX)","0.002731
USD"
"KingXChain
(KXC)","0.000022
USD"
"Axiom
(AXIOM)","0.007193
USD"
"Coupecoin
(COUPE)","0.000015
USD"
"InsurChain
(INSUR)","0.000401
USD"
"Adenz
(DNZ)","0.005418
USD"
"BenjiRolls
(BENJI)","0.001038
USD"
"Dutch Coin
(DUTCH)","0.000065
USD"
"Bitok
(BITOK)","0.000064
USD"
"Bastonet
(BSN)","0.000022
USD"
"StarCoin
(KST)","0.003145
USD"
"TCOIN
(TCN)","0.266552
USD"
"PlayCoin [ERC20]
(PLY)","0.136054
USD"
"Rocket Pool
(RPL)","0.596734
USD"
"SiaCashCoin
(SCC)","0.000259
USD"
"Mallcoin
(MLC)","0.015929
USD"
"LiteCoin Ultra
(LTCU)","0.013847
USD"
"Hdac
(HDAC)","0.062967
USD"
"BitSoar
(BSR)","0.000065
USD"
"BitCoal
(COAL)","0.003793
USD"
"CoinEx Token
(CET)","0.020820
USD"
"Graviocoin
(GIO)","0.000361
USD"
"CacheCoin
(CACH)","0.002595
USD"
"SegWit2x
(B2X)","0.136229
USD"
"Blockpass
(PASS)","0.009343
USD"
"Super Bitcoin
(SBTC)","4.83
USD"
"ShineChain
(SHE)","0.001775
USD"
"Interzone
(ITZ)","0.002271
USD"
"BUMO
(BU)","0.231907
USD"
"KingN Coin
(KNC)","11.68
USD"
"Staker
(STR)","0.033673
USD"
"STEX
(STEX)","0.783209
USD"
"Carlive Chain
(IOV)","0.001854
USD"
"PressOne
(PRS)","0.049778
USD"
"SOOM
(SOOM)","0.107118
USD"
"BLOC.MONEY
(BLOC)","0.060247
USD"
"ORS Group
(ORS)","0.026641
USD"
"Promotion Coin
(PC)","0.000474
USD"
"President Johnson
(GARY)","0.003893
USD"
"BitSerial
(BTE)","0.000831
USD"
"WinToken
(WIN)","0.000452
USD"
"Atheios
(ATH)","0.012478
USD"
"SuperEdge
(ECT)","0.000138
USD"
"Luna Stars
(LSTR)","0.000162
USD"
"Elliot Coin
(ELLI)","0.009662
USD"
"Iconiq Lab Token
(ICNQ)","0.670846
USD"
"StarChain
(STC)","0.005049
USD"
"Atlantis Blue Digital Token
(ABDT)","0.016561
USD"
"Bitbase
(BTBc)","0.000519
USD"
"SJWCoin
(SJW)","0.000195
USD"
"Iconic
(ICON)","0.035165
USD"
"AvatarCoin
(AV)","0.051546
USD"
"Antimatter
(ANTX)","0.000063
USD"
"Pecunio
(PCO)","0.041154
USD"
"KEY
(KEY)","0.002148
USD"
"Coimatic 3.0
(CTIC3)","0.001362
USD"
"ARbit
(ARB)","0.001427
USD"
"Animation Vision Cash
(AVH)","0.001168
USD"
"KWHCoin
(KWH)","0.012468
USD"
"Qube
(QUBE)","0.004194
USD"
"Swapcoin
(SWP)","0.255707
USD"
"Dragon Token
(DT)","1.49
USD"
"wys Token
(WYS)","0.012553
USD"
"Crypto Harbor Exchange
(CHE)","0.000187
USD"
"Wild Beast Block
(WBB)","0.057225
USD"
"MyToken
(MT)","0.004078
USD"
"Thunderstake
(TSC)","0.000246
USD"
"HitChain
(HIT)","0.000302
USD"
"DEEX
(DEEX)","0.050862
USD"
"CrevaCoin
(CREVA)","0.000130
USD"
"HYCON
(HYC)","0.018311
USD"
"Maximine Coin
(MXM)","0.004527
USD"
"Visio
(VISIO)","0.000454
USD"
"SongCoin
(SONG)","0.000519
USD"
"LeaCoin
(LEA)","0.000065
USD"
"GOLD Reward Token
(GRX)","0.002857
USD"
"TeslaCoilCoin
(TESLA)","0.294039
USD"
"Fivebalance
(FBN)","0.000017
USD"
"ValueCyberToken
(VCT)","0.021136
USD"
"Lightning Bitcoin
(LBTC)","4.68
USD"
"ANON
(ANON)","0.355309
USD"
"KlondikeCoin
(KDC)","0.005546
USD"
"Bitcoin File
(BIFI)","0.005463
USD"
